ID;ADI;TIP;BOY;EN;BIRIM;FIYAT;MONTAJ
1;PANJUR JALUZI 156CM ;ÜRÜN;0,10;156,00;ADET;110,00;55
2;CIM CIT 48 GOZ (YESIL) ;ÜRÜN;0,75;10,00;M2;260,00;55
3;CIM CIT 48 GOZ (YESIL) ;ÜRÜN;1,00;10,00;M2;240,00;55
4;CIM CIT 48 GOZ (YESIL) ;ÜRÜN;1,20;10,00;M2;240,00;55
5;CIM CIT 48 GOZ (YESIL) ;ÜRÜN;1,50;10,00;M2;240,00;55
6;CIM CIT 48 GOZ (YESIL) ;ÜRÜN;2,00;10,00;M2;240,00;55
7;PUNTALI TEL CIT PLAST (EST) 1,1MM / 12,5 mm x 12,5 mm GOZ;ÜRÜN;1,00;25,00;M2;115,00;55
8;PUNTALI TEL CIT PLAST (EST) 1,5MM / 50 mm x 50 mm GOZ;ÜRÜN;1,00;25,00;M2;53,00;55
9;PUNTALI TEL CIT PLAST (EST) 1,5MM / 50 mm x 50 mm GOZ;ÜRÜN;1,20;25,00;M2;53,00;55
10;PUNTALI TEL CIT PLAST (EST) 1,5MM / 50 mm x 50 mm GOZ;ÜRÜN;1,50;25,00;M2;53,00;55
11;PUNTALI TEL CIT PLAST (EST) 1,5MM / 50 mm x 75 mm GOZ;ÜRÜN;1,50;25,00;M2;48,00;55
12;PUNTALI TEL CIT PLAST (EST) 1,5MM / 50 mm x 75 mm GOZ;ÜRÜN;2,00;25,00;M2;48,00;55
13;PUNTALI TEL CIT PLAST (EST) 2MM / 50 mm x 50 mm GOZ;ÜRÜN;1,50;25,00;M2;84,00;55
14;PUNTALI TEL CIT PLAST (EST) 2MM / 50 mm x 50 mm GOZ;ÜRÜN;2,00;25,00;M2;84,00;55
15;PUNTALI TEL CIT PLAST (EST) 2MM /50 mm x 75 mm GOZ;ÜRÜN;1,00;25,00;M2;72,00;55
16;PUNTALI TEL CIT PLAST (EST) 2MM / 50 mm x 75 mm GOZ;ÜRÜN;1,50;25,00;M2;72,00;55
17;PUNTALI TEL CIT PLAST (EST) 2MM / 50 mm x 75 mm GOZ;ÜRÜN;2,00;25,00;M2;72,00;55
18;PUNTALI TEL CIT ZINC (EST) 1,2MM / 25 mm x 25 mm GOZ;ÜRÜN;1,50;25,00;M2;90,00;55
19;PUNTALI TEL CIT ZINC (EST) 1,5MM / 25 mm x 50 mm GOZ;ÜRÜN;1,00;25,00;M2;68,00;55
